022	1942-02-01	ДА	КФ	3 ударная армия	1334 осб
023	1942-02-01	ДА	КФ	4 ударная армия
023	1942-02-01	ДА	КФ	4 ударная армия	249 сд
023	1942-02-01	ДА	КФ	4 ударная армия	332 сд
023	1942-02-01	ДА	КФ	4 ударная армия	334 сд
023	1942-02-01	ДА	КФ	4 ударная армия	358 сд
023	1942-02-01	ДА	КФ	4 ударная армия	360 сд
023	1942-02-01	ДА	КФ	4 ударная армия	39 сбр
023	1942-02-01	ДА	КФ	4 ударная армия	48 сбр
023	1942-02-01	ДА	КФ	4 ударная армия	51 сбр
023	1942-02-01	ДА	КФ	4 ударная армия	62 олыжб
023	1942-02-01	ДА	КФ	4 ударная армия	64 олыжб
023	1942-02-01	ДА	КФ	4 ударная армия	66 олыжб
023	1942-02-01	ДА	КФ	4 ударная армия	67 олыжб
023	1942-02-01	ДА	КФ	4 ударная армия	68 олыжб
023	1942-02-01	ДА	КФ	4 ударная армия	69 олыжб
023	1942-02-01	ДА	КФ	4 ударная армия	270 пап
023	1942-02-01	ДА	КФ	4 ударная армия	765 ап ПТО
023	1942-02-01	ДА	КФ	4 ударная армия	109 огв. мдн
023	1942-02-01	ДА	КФ	4 ударная армия	204 огв. мдн
023	1942-02-01	ДА	КФ	4 ударная армия	141 отб
023	1942-02-01	ДА	КФ	4 ударная армия	171 отб
023	1942-02-01	ДА	КФ	4 ударная армия	4 сад
023	1942-02-01	ДА	КФ	4 ударная армия	210 осб
023	1942-02-01	ДА	КФ	4 ударная армия	491 осб
023	1942-02-01	ДА	КФ	4 ударная армия	1276 осб
023	1942-02-01	ДА	КФ	4 ударная армия	1308 осб
023	1942-02-01	ДА	КФ	4 ударная армия	1333 осб
024	1942-02-01	ДА	КФ	22 армия
024	1942-02-01	ДА	КФ	22 армия	220 сд
024	1942-02-01	ДА	КФ	22 армия	653 сп
024	1942-02-01	ДА	КФ	22 армия	149 олыжб
024	1942-02-01	ДА	КФ	22 армия	151 олыжб
024	1942-02-01	ДА	КФ	22 армия	301 гап
024	1942-02-01	ДА	КФ	22 армия	390 гап
024	1942-02-01	ДА	КФ	22 армия	545 ап
024	1942-02-01	ДА	КФ	22 армия	183 озадн
024	1942-02-01	ДА	КФ	22 армия	397 озадн
024	1942-02-01	ДА	КФ	22 армия	129 отб
024	1942-02-01	ДА	КФ	22 армия	115 оиб
025	1942-02-01	ДА	КФ	29 армия
025	1942-02-01	ДА	КФ	29 армия	183 сд
025	1942-02-01	ДА	КФ	29 армия	185 сд
025	1942-02-01	ДА	КФ	29 армия	220 сд
025	1942-02-01	ДА	КФ	29 армия	246 сд
025	1942-02-01	ДА	КФ	29 армия	365 сд
025	1942-02-01	ДА	КФ	29 армия	369 сд
025	1942-02-01	ДА	КФ	29 армия	381 сд
025	1942-02-01	ДА	КФ	29 армия	87 олыжб
025	1942-02-01	ДА	КФ	29 армия	432 гап
025	1942-02-01	ДА	КФ	29 армия	510 гап
025	1942-02-01	ДА	КФ	29 армия	873 ап ПТО
025	1942-02-01	ДА	КФ	29 армия	39 огв. мдн
025	1942-02-01	ДА	КФ	29 армия	71 оиб
025	1942-02-01	ДА	КФ	29 армия	267 оиб
026	1942-02-01	ДА	КФ	30 армия
026	1942-02-01	ДА	КФ	30 армия	174 сд
026	1942-02-01	ДА	КФ	30 армия	243 сд
026	1942-02-01	ДА	КФ	30 армия	363 сд
026	1942-02-01	ДА	КФ	30 армия	371 сд
026	1942-02-01	ДА	КФ	30 армия	375 сд
026	1942-02-01	ДА	КФ	30 армия	76 олыжб
026	1942-02-01	ДА	КФ	30 армия	542 пап
026	1942-02-01	ДА	КФ	30 армия	646 ап
026	1942-02-01	ДА	КФ	30 армия	29 огв. мдн
026	1942-02-01	ДА	КФ	30 армия	43 огв. мдн
026	1942-02-01	ДА	КФ	30 армия	61 озадн
026	1942-02-01	ДА	КФ	30 армия	651 озадн
026	1942-02-01	ДА	КФ	30 армия	21 тбр
026	1942-02-01	ДА	КФ	30 армия	35 тбр
026	1942-02-01	ДА	КФ	30 армия	58 тбр
026	1942-02-01	ДА	КФ	30 армия	70 тбр
026	1942-02-01	ДА	КФ	30 армия	145 отб
026	1942-02-01	ДА	КФ	30 армия	593 лбап
026	1942-02-01	ДА	КФ	30 армия	133 оиб
026	1942-02-01	ДА	КФ	30 армия	263 осб
027	1942-02-01	ДА	КФ	31 армия
027	1942-02-01	ДА	КФ	31 армия	5 сд
027	1942-02-01	ДА	КФ	31 армия	247 сд
027	1942-02-01	ДА	КФ	31 армия	250 сд
027	1942-02-01	ДА	КФ	31 армия	251 сд
027	1942-02-01	ДА	КФ	31 армия	348 сд
027	1942-02-01	ДА	КФ	31 армия	359 сд
027	1942-02-01	ДА	КФ	31 армия	379 сд
027	1942-02-01	ДА	КФ	31 армия	56 кап
027	1942-02-01	ДА	КФ	31 армия	47 огв. мдн
027	1942-02-01	ДА	КФ	31 армия	72 оиб
028	1942-02-01	ДА	КФ	39 армия
028	1942-02-01	ДА	КФ	39 армия	252 сд
028	1942-02-01	ДА	КФ	39 армия	256 сд
028	1942-02-01	ДА	КФ	39 армия	262 сд
028	1942-02-01	ДА	КФ	39 армия	355 сд
028	1942-02-01	ДА	КФ	39 армия	357 сд
028	1942-02-01	ДА	КФ	39 армия	361 сд
028	1942-02-01	ДА	КФ	39 армия	373 сд
028	1942-02-01	ДА	КФ	39 армия	54 кд
028	1942-02-01	ДА	КФ	39 армия	74 олыжб
028	1942-02-01	ДА	КФ	39 армия	81 олыжб
028	1942-02-01	ДА	КФ	39 армия	82 олыжб
028	1942-02-01	ДА	КФ	39 армия	83 олыжб
028	1942-02-01	ДА	КФ	39 армия	249 олыжб
028	1942-02-01	ДА	КФ	39 армия	250 олыжб
028	1942-02-01	ДА	КФ	39 армия	251 олыжб
028	1942-02-01	ДА	КФ	39 армия	336 ап
028	1942-02-01	ДА	КФ	39 армия	102 огв. мдн
